observation_date,CISS
1980-01-03,0.135571
1980-01-04,0.134951
1980-01-07,0.137788
1980-01-08,0.134469
1980-01-09,0.125849
1980-01-10,0.121297
1980-01-11,0.109027
1980-01-14,0.099288
1980-01-15,0.102738
1980-01-16,0.102027
1980-01-17,0.127593
1980-01-18,0.122811
1980-01-21,0.121668
1980-01-22,0.111445
1980-01-23,0.103184
1980-01-24,0.103375
1980-01-25,0.102607
1980-01-28,0.095334
1980-01-29,0.083169
1980-01-30,0.07229
1980-01-31,0.057914
1980-02-01,0.049465
1980-02-04,0.036902
1980-02-05,0.031079
1980-02-06,0.03503
1980-02-07,0.031529
1980-02-08,0.028653
1980-02-11,0.030754
1980-02-12,0.0252
1980-02-13,0.026581
1980-02-14,0.016998
1980-02-15,0.017066
1980-02-18,0.017023
1980-02-19,0.016158
1980-02-20,0.013823
1980-02-21,0.013406
1980-02-22,0.01218
1980-02-25,0.014279
1980-02-26,0.02046
1980-02-27,0.02345
1980-02-28,0.027588
1980-02-29,0.027443
1980-03-03,0.028775
1980-03-04,0.03749
1980-03-05,0.052544
1980-03-06,0.049522
1980-03-07,0.055108
1980-03-10,0.060065
1980-03-11,0.080687
1980-03-12,0.101022
1980-03-13,0.114526
1980-03-14,0.122683
1980-03-17,0.165299
1980-03-18,0.20239
1980-03-19,0.224372
1980-03-20,0.234344
1980-03-21,0.252879
1980-03-24,0.239981
1980-03-25,0.252299
1980-03-26,0.242457
1980-03-27,0.249936
1980-03-28,0.239198
1980-03-31,0.280036
1980-04-01,0.315602
1980-04-02,0.331449
1980-04-03,0.320404
1980-04-04,0.304003
1980-04-07,0.289262
1980-04-08,0.297585
1980-04-09,0.329068
1980-04-10,0.344422
1980-04-11,0.413433
1980-04-14,0.43612
1980-04-15,0.391477
1980-04-16,0.321897
1980-04-17,0.401361
1980-04-18,0.375294
1980-04-21,0.36434
1980-04-22,0.327791
1980-04-23,0.344885
1980-04-24,0.361629
1980-04-25,0.387773
1980-04-28,0.376012
1980-04-29,0.371617
1980-04-30,0.366617
1980-05-01,0.355074
1980-05-02,0.340097
1980-05-05,0.3078
1980-05-06,0.303291
1980-05-07,0.284872
1980-05-08,0.310945
1980-05-09,0.338874
1980-05-12,0.322647
1980-05-13,0.32218
1980-05-14,0.299188
1980-05-15,0.289649
1980-05-16,0.273975
1980-05-19,0.249318
1980-05-20,0.230769
1980-05-21,0.234336
1980-05-22,0.21742
1980-05-23,0.217283
1980-05-26,0.200744
1980-05-27,0.258973
1980-05-28,0.272183
1980-05-29,0.246463
1980-05-30,0.199212
1980-06-02,0.172329
1980-06-03,0.176614
1980-06-04,0.231141
1980-06-05,0.234568
1980-06-06,0.250934
1980-06-09,0.259197
1980-06-10,0.258795
1980-06-11,0.256942
1980-06-12,0.244609
1980-06-13,0.214576
1980-06-16,0.206575
1980-06-17,0.1896
1980-06-18,0.184697
1980-06-19,0.17429
1980-06-20,0.15303
1980-06-23,0.13382
1980-06-24,0.122747
1980-06-25,0.107794
1980-06-26,0.093321
1980-06-27,0.078022
1980-06-30,0.072694
1980-07-01,0.061237
1980-07-02,0.046371
1980-07-03,0.043633
1980-07-04,0.048302
1980-07-07,0.045046
1980-07-08,0.046857
1980-07-09,0.048724
1980-07-10,0.048912
1980-07-11,0.045711
1980-07-14,0.039458
1980-07-15,0.044145
1980-07-16,0.040148
1980-07-17,0.045559
1980-07-18,0.045675
1980-07-21,0.03874
1980-07-22,0.04068
1980-07-23,0.039957
1980-07-24,0.036339
1980-07-25,0.047419
1980-07-28,0.051919
1980-07-29,0.050937
1980-07-30,0.037582
1980-07-31,0.032208
1980-08-01,0.022969
1980-08-04,0.021865
1980-08-05,0.017456
1980-08-06,0.017411
1980-08-07,0.020266
1980-08-08,0.028942
1980-08-11,0.02396
1980-08-12,0.026063
1980-08-13,0.029199
1980-08-14,0.031295
1980-08-15,0.036552
1980-08-18,0.023768
1980-08-19,0.025387
1980-08-20,0.025215
1980-08-21,0.028336
1980-08-22,0.023114
1980-08-25,0.017885
1980-08-26,0.026882
1980-08-27,0.026322
1980-08-28,0.021411
1980-08-29,0.020881
1980-09-01,0.018972
1980-09-02,0.024467
1980-09-03,0.022373
1980-09-04,0.038922
1980-09-05,0.048475
1980-09-08,0.046152
1980-09-09,0.037711
1980-09-10,0.035384
1980-09-11,0.037165
1980-09-12,0.038931
1980-09-15,0.035743
1980-09-16,0.038788
1980-09-17,0.048357
1980-09-18,0.050634
1980-09-19,0.098754
1980-09-22,0.11526
1980-09-23,0.113041
1980-09-24,0.131208
1980-09-25,0.138897
1980-09-26,0.128203
1980-09-29,0.110625
1980-09-30,0.115392
1980-10-01,0.128617
1980-10-02,0.125919
1980-10-03,0.127658
1980-10-06,0.139891
1980-10-07,0.137318
1980-10-08,0.133092
1980-10-09,0.141098
1980-10-10,0.140257
1980-10-13,0.127621
1980-10-14,0.120088
1980-10-15,0.129118
1980-10-16,0.122014
1980-10-17,0.103249
1980-10-20,0.08863
1980-10-21,0.099071
1980-10-22,0.102932
1980-10-23,0.091652
1980-10-24,0.102509
1980-10-27,0.099334
1980-10-28,0.113628
1980-10-29,0.136879
1980-10-30,0.132558
1980-10-31,0.122655
1980-11-03,0.143519
1980-11-04,0.172578
1980-11-05,0.170566
1980-11-06,0.162861
1980-11-07,0.200542
1980-11-10,0.249152
1980-11-11,0.316707
1980-11-12,0.361252
1980-11-13,0.388825
1980-11-14,0.402753
1980-11-17,0.395977
1980-11-18,0.399524
1980-11-19,0.402243
1980-11-20,0.389103
1980-11-21,0.402531
1980-11-24,0.370879
1980-11-25,0.367141
1980-11-26,0.358394
1980-11-27,0.324342
1980-11-28,0.294042
1980-12-01,0.264277
1980-12-02,0.232672
1980-12-03,0.214332
1980-12-04,0.196805
1980-12-05,0.174411
1980-12-08,0.161913
1980-12-09,0.17011
1980-12-10,0.171804
1980-12-11,0.167462
1980-12-12,0.191665
1980-12-15,0.215627
1980-12-16,0.259691
1980-12-17,0.287572
1980-12-18,0.309238
1980-12-19,0.330888
1980-12-22,0.32731
1980-12-23,0.312171
1980-12-24,0.291063
1980-12-25,0.264733
1980-12-26,0.238455
1980-12-29,0.211001
1980-12-30,0.191892
1980-12-31,0.174422
1981-01-01,0.162064
1981-01-02,0.207319
1981-01-05,0.217797
1981-01-06,0.222167
1981-01-07,0.226271
1981-01-08,0.210373
1981-01-09,0.200114
1981-01-12,0.200758
1981-01-13,0.200934
1981-01-14,0.170448
1981-01-15,0.167306
1981-01-16,0.158513
1981-01-19,0.158737
1981-01-20,0.157364
1981-01-21,0.139581
1981-01-22,0.171182
1981-01-23,0.181356
